OID	LEFT_FID	RIGHT_FID	ORIG_FID	Puntos_x_m	Puntos_y_m	Punto_X_Km	Punto_Y_Km
-1	-1	0	0	700711,3264	9543799,119	700,7113264	9543,799119
-1	-1	0	0	700657,7673	9543812,176	700,6577673	9543,812176
-1	-1	0	0	700533,03	9543852,629	700,53303	9543,852629
-1	-1	0	0	700511,97	9543858,571	700,51197	9543,858571
-1	-1	0	0	700441,4385	9543880,942	700,4414385	9543,880942
-1	-1	0	0	700377,6394	9543890,871	700,3776394	9543,890871
-1	-1	0	0	700244,3716	9543901,417	700,2443716	9543,901417
-1	-1	0	0	700178,4902	9543914,276	700,1784902	9543,914276
-1	-1	0	0	700073,2119	9543945,401	700,0732119	9543,945401
-1	-1	0	0	700018,8516	9543946,511	700,0188516	9543,946511
-1	-1	0	0	699984,843	9543939,872	699,984843	9543,939872
-1	-1	0	0	699949,0942	9543926,589	699,9490942	9543,926589
-1	-1	0	0	699902,4163	9543898,283	699,9024163	9543,898283
-1	-1	0	0	699851,7224	9543873,688	699,8517224	9543,873688
-1	-1	0	0	699852,6467	9543828,407	699,8526467	9543,828407
-1	-1	0	0	699849,03	9543813,571	699,84903	9543,813571
-1	-1	0	0	699840,03	9543778,453	699,84003	9543,778453
-1	-1	0	0	699848,97	9543750,571	699,84897	9543,750571
-1	-1	0	0	699863,97	9543709,599	699,86397	9543,709599
-1	-1	0	0	699860,9634	9543699,342	699,8609634	9543,699342
-1	-1	0	0	699834,2036	9543664,078	699,8342036	9543,664078
-1	-1	0	0	699828,2454	9543646,669	699,8282454	9543,646669
-1	-1	0	0	699821,4763	9543547,453	699,8214763	9543,547453
-1	-1	0	0	699801,5632	9543517,08	699,8015632	9543,51708
-1	-1	0	0	699779,1665	9543500,085	699,7791665	9543,500085
-1	-1	0	0	699725,7839	9543462,216	699,7257839	9543,462216
-1	-1	0	0	699717,4871	9543454,245	699,7174871	9543,454245
-1	-1	0	0	699706,2327	9543437,642	699,7062327	9543,437642
-1	-1	0	0	699672,1238	9543355,315	699,6721238	9543,355315
-1	-1	0	0	699660,5339	9543331,426	699,6605339	9543,331426
-1	-1	0	0	699645,03	9543309,571	699,64503	9543,309571
-1	-1	0	0	699618,5874	9543275,745	699,6185874	9543,275745
-1	-1	0	0	699614,97	9543261,629	699,61497	9543,261629
-1	-1	0	0	699611,8015	9543180,729	699,6118015	9543,180729
-1	-1	0	0	699597,03	9543131,914	699,59703	9543,131914
-1	-1	0	0	699600,3105	9543092,478	699,6003105	9543,092478
-1	-1	0	0	699626,9055	9542970,735	699,6269055	9542,970735
-1	-1	0	0	699627,2666	9542953,028	699,6272666	9542,953028
-1	-1	0	0	699544,8428	9542997,216	699,5448428	9542,997216
-1	-1	0	0	699517,8618	9543016,356	699,5178618	9543,016356
-1	-1	0	0	699492,9448	9543042,289	699,4929448	9543,042289
-1	-1	0	0	699463,5381	9543053,217	699,4635381	9543,053217
-1	-1	0	0	699396,2703	9543087,87	699,3962703	9543,08787
-1	-1	0	0	699317,5034	9543113,431	699,3175034	9543,113431
-1	-1	0	0	699271,2114	9543135,887	699,2712114	9543,135887
-1	-1	0	0	699243,23	9543154,233	699,24323	9543,154233
-1	-1	0	0	699189,9302	9543200,621	699,1899302	9543,200621
-1	-1	0	0	699164,97	9543228,571	699,16497	9543,228571
-1	-1	0	0	699129,9924	9543269,63	699,1299924	9543,26963
-1	-1	0	0	699053,97	9543348,571	699,05397	9543,348571
-1	-1	0	0	699014,2961	9543391,687	699,0142961	9543,391687
-1	-1	0	0	698982,1018	9543422,619	698,9821018	9543,422619
-1	-1	0	0	698945,3716	9543468,949	698,9453716	9543,468949
-1	-1	0	0	698929,6802	9543485,279	698,9296802	9543,485279
-1	-1	0	0	698862,4006	9543549,922	698,8624006	9543,549922
-1	-1	0	0	698813,6653	9543630,169	698,8136653	9543,630169
-1	-1	0	0	698784,9543	9543666,383	698,7849543	9543,666383
-1	-1	0	0	698745,3684	9543699,131	698,7453684	9543,699131
-1	-1	0	0	698734,0686	9543715,801	698,7340686	9543,715801
-1	-1	0	0	698707,7102	9543758,249	698,7077102	9543,758249
-1	-1	0	0	698687,6162	9543773,496	698,6876162	9543,773496
-1	-1	0	0	698657,5071	9543785,709	698,6575071	9543,785709
-1	-1	0	0	698618,321	9543800,27	698,618321	9543,80027
-1	-1	0	0	698568,4241	9543829,889	698,5684241	9543,829889
-1	-1	0	0	698538,5295	9543852,049	698,5385295	9543,852049
-1	-1	0	0	698519,5554	9543874,051	698,5195554	9543,874051
-1	-1	0	0	698485,7864	9543925,558	698,4857864	9543,925558
-1	-1	0	0	698473,2722	9543938,58	698,4732722	9543,93858
-1	-1	0	0	698448,6482	9543957,266	698,4486482	9543,957266
-1	-1	0	0	698411,8022	9543973,76	698,4118022	9543,97376
-1	-1	0	0	698388,03	9543978,629	698,38803	9543,978629
-1	-1	0	0	698296,782	9543989,78	698,296782	9543,98978
-1	-1	0	0	698276,8499	9543999,451	698,2768499	9543,999451
-1	-1	0	0	698259,03	9544008,629	698,25903	9544,008629
-1	-1	0	0	698249,7305	9544013,141	698,2497305	9544,013141
-1	-1	0	0	698128,9633	9544156,901	698,1289633	9544,156901
-1	-1	0	0	698010,1644	9544284,456	698,0101644	9544,284456
-1	-1	0	0	697984,4462	9544317,357	697,9844462	9544,317357
-1	-1	0	0	697972,4539	9544345,075	697,9724539	9544,345075
-1	-1	0	0	697963,1349	9544381,438	697,9631349	9544,381438
-1	-1	0	0	697955,97	9544434,571	697,95597	9544,434571
-1	-1	0	0	697939,0137	9544592,287	697,9390137	9544,592287
-1	-1	0	0	697932,6866	9544618,242	697,9326866	9544,618242
-1	-1	0	0	697920,2347	9544663,514	697,9202347	9544,663514
-1	-1	0	0	697908,4651	9544735,816	697,9084651	9544,735816
-1	-1	0	0	697893,75	9544787,988	697,89375	9544,787988
-1	-1	0	0	697878,5402	9544826,548	697,8785402	9544,826548
-1	-1	0	0	697860,5955	9544853,92	697,8605955	9544,85392
-1	-1	0	0	697817,3676	9544898,912	697,8173676	9544,898912
-1	-1	0	0	697785,7474	9544920,345	697,7857474	9544,920345
-1	-1	0	0	697747,2166	9544931,496	697,7472166	9544,931496
-1	-1	0	0	697644,832	9544940,302	697,644832	9544,940302
-1	-1	0	0	697609,6816	9544947,163	697,6096816	9544,947163
-1	-1	0	0	697567,3989	9544959,09	697,5673989	9544,95909
-1	-1	0	0	697511,8521	9544980,998	697,5118521	9544,980998
-1	-1	0	0	697441,934	9545012,595	697,441934	9545,012595
-1	-1	0	0	697391,7766	9545042,37	697,3917766	9545,04237
-1	-1	0	0	697364,0541	9545062,921	697,3640541	9545,062921
-1	-1	0	0	697346,3987	9545079,884	697,3463987	9545,079884
-1	-1	0	0	697316,2526	9545114,838	697,3162526	9545,114838
